Zone_ID,Hour_of_Day,Day_of_Week,Weather_Condition,Package_Type,Package_Weight_Kg,Is_Express,Is_Medical,Package_Volume_Demand,Traffic_Delay_Minutes
Zone_5,11,2,Clear,Standard,7.62,0,0,68,41.7
Zone_3,7,4,Clear,Standard,4.21,0,0,30,12.6
Zone_7,8,6,Clear,Standard,3.45,0,0,33,35.1
Zone_5,9,6,Clear,Standard,1.38,0,0,54,32.5
Zone_9,6,6,Overcast,Standard,24.07,0,0,40,19.3
Zone_7,2,5,Rainy,Standard,17.99,0,0,31,29.2
Zone_2,4,2,Clear,Medical,2.35,0,1,32,19.4
Zone_4,2,2,Clear,Standard,13.47,0,0,37,11.6
Zone_9,17,0,Clear,Standard,1.27,0,0,68,27.9
Zone_2,18,5,Clear,Standard,22.6,0,0,43,39.2
Zone_10,9,4,Clear,Medical,2.68,0,1,77,47.2
Zone_9,8,0,Clear,Standard,19.16,0,0,34,37.9
Zone_10,23,1,Foggy,Standard,21.89,0,0,59,48.4
Zone_5,6,1,Rainy,Standard,16.27,0,0,36,28.0
Zone_2,0,1,Rainy,Express,23.96,1,0,34,25.0
Zone_4,9,0,Clear,Express,2.2,1,0,49,24.2
Zone_7,1,0,Overcast,Express,22.37,1,0,33,20.6
Zone_8,5,1,Clear,Express,5.12,1,0,44,9.8
Zone_3,20,0,Clear,Standard,14.43,0,0,16,42.6
Zone_1,5,3,Clear,Medical,21.71,0,1,30,7.5
Zone_4,23,3,Clear,Standard,21.45,0,0,41,16.8
Zone_2,7,3,Overcast,Standard,6.17,0,0,28,19.7
Zone_8,17,2,Clear,Express,10.57,1,0,78,37.2
Zone_4,6,4,Clear,Standard,21.34,0,0,41,15.2
Zone_2,17,5,Clear,Standard,0.45,0,0,45,29.8
Zone_6,0,4,Clear,Standard,5.79,0,0,42,4.6
Zone_6,23,4,Clear,Express,5.83,1,0,44,12.3
Zone_10,13,1,Clear,Standard,4.92,0,0,83,14.4
Zone_4,22,6,Rainy,Standard,18.88,0,0,26,19.0
Zone_6,19,3,Rainy,Express,21.6,1,0,40,42.2
Zone_2,6,5,Rainy,Express,0.81,1,0,19,18.9
Zone_10,19,3,Clear,Standard,11.63,0,0,51,42.2
Zone_2,6,0,Clear,Standard,11.19,0,0,15,11.2
Zone_10,3,2,Clear,Express,5.73,1,0,50,15.2
Zone_4,4,2,Rainy,Standard,17.4,0,0,41,22.0
Zone_8,22,3,Clear,Standard,3.46,0,0,53,13.2
Zone_7,23,0,Clear,Standard,16.21,0,0,37,6.5
Zone_9,20,3,Overcast,Standard,2.11,0,0,48,45.2
Zone_8,0,1,Clear,Standard,5.85,0,0,48,6.6
Zone_5,19,6,Clear,Express,0.67,1,0,31,31.8
Zone_2,2,1,Clear,Standard,19.04,0,0,35,14.7
Zone_5,12,4,Rainy,Standard,17.1,0,0,63,30.3
Zone_8,6,5,Foggy,Standard,9.01,0,0,34,44.4
Zone_10,5,5,Clear,Standard,16.74,0,0,43,22.6
Zone_9,5,5,Clear,Standard,10.64,0,0,40,17.0
Zone_9,1,6,Rainy,Standard,20.59,0,0,35,27.4
Zone_1,15,4,Rainy,Standard,6.85,0,0,57,22.7
Zone_9,5,3,Clear,Express,12.14,1,0,54,16.3
Zone_7,7,6,Clear,Standard,12.27,0,0,37,13.1
Zone_9,20,6,Rainy,Medical,20.83,0,1,34,46.0
Zone_8,10,4,Clear,Standard,19.22,0,0,71,27.4
Zone_1,17,6,Clear,Standard,1.34,0,0,41,37.7
Zone_8,22,3,Overcast,Standard,6.6,0,0,48,18.5
Zone_8,5,2,Clear,Standard,18.12,0,0,49,12.0
Zone_3,13,1,Clear,Medical,0.91,0,1,59,4.4
Zone_1,14,6,Clear,Standard,16.89,0,0,36,15.3
Zone_8,10,0,Rainy,Express,20.22,1,0,62,42.0
Zone_3,14,0,Clear,Standard,15.75,0,0,49,16.9
Zone_3,12,2,Clear,Medical,7.71,0,1,56,6.5
Zone_1,5,6,Clear,Standard,10.35,0,0,16,9.2
Zone_5,3,5,Clear,Standard,12.58,0,0,24,16.3
Zone_10,13,6,Clear,Standard,11.22,0,0,68,22.4
Zone_7,12,3,Clear,Standard,11.6,0,0,73,18.6
Zone_10,9,5,Clear,Standard,2.28,0,0,66,38.3
Zone_9,21,1,Clear,Standard,1.79,0,0,56,17.4
Zone_7,11,3,Clear,Standard,13.96,0,0,67,48.6
Zone_9,23,3,Foggy,Standard,20.1,0,0,55,42.3
Zone_8,7,2,Clear,Standard,5.81,0,0,52,14.5
Zone_2,19,2,Clear,Standard,20.37,0,0,33,43.6
Zone_1,4,4,Clear,Standard,8.5,0,0,25,10.7
Zone_7,1,2,Clear,Standard,20.25,0,0,41,14.6
Zone_7,19,4,Rainy,Standard,5.8,0,0,46,40.7
Zone_8,11,5,Clear,Standard,12.25,0,0,59,40.6
Zone_5,5,5,Clear,Standard,20.68,0,0,27,7.7
Zone_3,14,6,Clear,Standard,17.38,0,0,42,6.5
Zone_8,17,0,Clear,Standard,24.31,0,0,62,32.2
Zone_6,17,4,Rainy,Standard,7.43,0,0,63,51.9
Zone_3,9,4,Clear,Express,20.6,1,0,54,20.9
Zone_1,6,5,Clear,Express,1.51,1,0,19,21.6
Zone_3,9,0,Overcast,Standard,24.24,0,0,49,40.3
Zone_5,4,1,Clear,Express,0.69,1,0,40,15.8
Zone_3,15,3,Clear,Standard,23.67,0,0,61,9.5
Zone_1,18,5,Foggy,Standard,0.94,0,0,44,69.8
Zone_5,2,3,Clear,Standard,18.81,0,0,44,17.6
Zone_10,6,2,Clear,Express,16.9,1,0,55,24.8
Zone_7,18,2,Clear,Express,9.55,1,0,68,38.7
Zone_7,11,1,Clear,Standard,22.75,0,0,66,35.7
Zone_9,9,6,Rainy,Medical,23.44,0,1,66,39.1
Zone_10,4,2,Clear,Standard,22.25,0,0,50,13.5
Zone_10,1,3,Clear,Medical,24.86,0,1,54,16.4
Zone_3,2,5,Clear,Standard,14.27,0,0,17,10.5
Zone_7,13,5,Overcast,Express,15.91,1,0,61,13.6
Zone_1,14,4,Clear,Express,12.35,1,0,48,12.3
Zone_4,19,4,Rainy,Medical,23.47,0,1,34,46.0
Zone_4,12,6,Clear,Standard,19.43,0,0,53,4.8
Zone_5,16,2,Rainy,Express,23.26,1,0,64,25.4
Zone_7,19,3,Clear,Standard,22.18,0,0,45,26.2
Zone_7,3,5,Clear,Standard,5.61,0,0,34,15.1
Zone_4,18,0,Rainy,Standard,6.58,0,0,47,34.9
Zone_7,14,0,Clear,Standard,20.95,0,0,58,8.5
Zone_3,14,5,Clear,Standard,16.22,0,0,47,2.3
Zone_6,8,5,Rainy,Standard,16.93,0,0,31,45.0
Zone_2,2,5,Clear,Standard,7.74,0,0,18,9.4
Zone_10,1,4,Rainy,Standard,23.98,0,0,57,32.0
Zone_9,6,3,Clear,Medical,8.9,0,1,48,13.3
Zone_5,8,5,Overcast,Standard,18.41,0,0,26,36.1
Zone_6,21,6,Overcast,Standard,3.56,0,0,28,14.7
Zone_4,4,4,Rainy,Medical,17.68,0,1,40,25.5
Zone_10,16,3,Rainy,Standard,9.9,0,0,81,35.2
Zone_7,2,5,Overcast,Express,1.06,1,0,28,21.4
Zone_9,8,6,Rainy,Standard,1.65,0,0,36,35.7
Zone_7,7,0,Overcast,Standard,18.19,0,0,34,24.7
Zone_1,8,5,Overcast,Express,3.41,1,0,16,30.8
Zone_1,23,2,Clear,Standard,23.25,0,0,23,7.1
Zone_9,16,1,Rainy,Express,19.14,1,0,80,25.6
Zone_9,23,2,Overcast,Standard,14.85,0,0,51,14.9
Zone_4,7,3,Foggy,Express,12.31,1,0,36,34.3
Zone_9,20,4,Clear,Standard,6.63,0,0,55,45.0
Zone_3,13,4,Clear,Express,17.21,1,0,63,3.2
Zone_7,21,0,Clear,Standard,22.29,0,0,37,15.3
Zone_6,15,5,Clear,Express,8.85,1,0,58,7.7
Zone_8,17,0,Clear,Standard,14.21,0,0,61,29.8
Zone_9,16,2,Clear,Standard,12.51,0,0,76,18.3
Zone_5,23,5,Rainy,Standard,8.24,0,0,31,29.2
Zone_1,6,6,Overcast,Standard,14.18,0,0,12,17.8
Zone_3,19,2,Clear,Standard,13.36,0,0,34,36.2
Zone_10,14,6,Clear,Standard,16.76,0,0,70,22.3
Zone_8,6,1,Clear,Standard,15.32,0,0,47,14.5
Zone_6,1,3,Clear,Standard,16.15,0,0,45,17.1
Zone_8,1,2,Clear,Express,9.76,1,0,48,12.3
Zone_9,6,2,Clear,Express,21.75,1,0,51,14.2
Zone_4,18,0,Clear,Standard,4.14,0,0,49,22.2
Zone_1,5,5,Clear,Standard,3.92,0,0,16,18.1
Zone_1,11,3,Clear,Standard,22.01,0,0,51,27.3
Zone_10,14,0,Clear,Standard,16.9,0,0,62,19.2
Zone_4,12,6,Clear,Standard,0.18,0,0,44,5.6
Zone_7,6,6,Clear,Standard,6.59,0,0,33,11.3
Zone_2,6,1,Clear,Standard,17.22,0,0,32,15.0
Zone_3,14,2,Clear,Standard,4.86,0,0,60,10.9
Zone_1,3,5,Clear,Standard,2.47,0,0,16,18.9
Zone_5,2,2,Clear,Standard,2.54,0,0,44,21.6
Zone_1,0,2,Clear,Standard,13.49,0,0,24,15.5
Zone_8,6,4,Clear,Standard,21.61,0,0,46,20.7
Zone_1,8,6,Overcast,Express,7.8,1,0,11,27.0
Zone_1,0,3,Overcast,Standard,15.38,0,0,27,10.7
Zone_2,4,0,Clear,Standard,24.37,0,0,18,7.2
Zone_2,14,0,Clear,Standard,13.6,0,0,39,16.1
Zone_6,3,6,Overcast,Standard,2.53,0,0,26,8.9
Zone_7,9,0,Rainy,Express,4.65,1,0,56,47.7
Zone_5,1,1,Clear,Express,7.7,1,0,40,18.7
Zone_1,22,4,Clear,Express,4.05,1,0,28,14.7
Zone_1,6,1,Clear,Standard,8.64,0,0,25,17.6
Zone_3,23,3,Clear,Standard,12.69,0,0,31,10.8
Zone_2,18,0,Clear,Express,10.46,1,0,47,25.4
Zone_5,5,0,Rainy,Standard,7.79,0,0,25,27.6
Zone_10,14,0,Overcast,Standard,23.89,0,0,64,19.8
Zone_6,19,2,Clear,Standard,19.43,0,0,38,26.8
Zone_7,11,6,Clear,Medical,18.82,0,1,58,28.8
Zone_4,10,6,Rainy,Medical,4.97,0,1,53,42.7
Zone_7,2,2,Rainy,Express,9.23,1,0,46,20.1
Zone_8,19,5,Overcast,Express,23.88,1,0,35,45.9
Zone_1,16,0,Rainy,Standard,1.46,0,0,36,30.4
Zone_6,6,6,Clear,Standard,11.47,0,0,29,11.9
Zone_8,22,0,Rainy,Standard,6.16,0,0,39,27.1
Zone_5,22,2,Clear,Standard,15.64,0,0,38,19.5
Zone_4,17,1,Clear,Standard,12.11,0,0,61,10.7
Zone_2,16,4,Rainy,Express,20.21,1,0,60,28.2
Zone_6,15,1,Foggy,Standard,0.47,0,0,66,31.3
Zone_6,1,6,Clear,Standard,0.99,0,0,32,13.4
Zone_1,4,4,Clear,Standard,10.85,0,0,31,8.5
Zone_9,20,6,Clear,Standard,21.75,0,0,42,43.9
Zone_6,12,2,Clear,Medical,12.16,0,1,72,15.1
Zone_3,10,5,Clear,Standard,21.15,0,0,42,26.1
Zone_4,23,5,Clear,Medical,22.19,0,1,28,6.6
Zone_4,0,0,Clear,Express,14.33,1,0,25,11.6
Zone_3,22,6,Clear,Standard,7.18,0,0,17,11.6
Zone_10,2,0,Clear,Standard,14.9,0,0,40,18.5
Zone_3,17,0,Overcast,Standard,4.83,0,0,43,26.2
Zone_3,20,6,Clear,Standard,12.54,0,0,18,25.8
Zone_4,3,1,Clear,Standard,2.0,0,0,34,4.2
Zone_7,8,0,Clear,Express,3.36,1,0,33,25.9
Zone_4,10,4,Clear,Medical,6.1,0,1,65,24.1
Zone_9,16,0,Clear,Standard,9.92,0,0,61,14.2
Zone_1,10,2,Overcast,Standard,7.45,0,0,53,41.5
Zone_8,2,0,Clear,Standard,2.71,0,0,31,15.8
Zone_7,18,1,Clear,Standard,0.48,0,0,69,35.1
Zone_2,19,1,Clear,Standard,6.43,0,0,29,21.7
Zone_8,22,6,Rainy,Standard,7.04,0,0,37,22.3
Zone_1,20,2,Clear,Standard,5.56,0,0,31,19.8
Zone_9,10,6,Clear,Standard,23.03,0,0,67,37.0
Zone_9,13,3,Rainy,Express,3.64,1,0,74,29.5
Zone_2,5,6,Rainy,Standard,4.83,0,0,20,26.3
Zone_7,18,1,Clear,Standard,8.63,0,0,70,29.1
Zone_10,20,3,Overcast,Standard,18.78,0,0,59,36.2
Zone_3,14,2,Clear,Standard,0.21,0,0,57,9.1
Zone_7,10,0,Clear,Express,20.24,1,0,55,33.1
Zone_10,17,5,Rainy,Standard,0.71,0,0,67,53.5
Zone_9,3,3,Foggy,Medical,11.52,0,1,47,42.8
Zone_4,18,2,Clear,Express,7.26,1,0,66,29.9
Zone_1,2,3,Rainy,Express,1.41,1,0,26,32.3
Zone_2,11,3,Clear,Standard,3.89,0,0,58,34.3
Zone_1,3,6,Clear,Standard,23.23,0,0,19,14.7
Zone_5,23,0,Clear,Standard,6.79,0,0,28,21.5
Zone_5,11,5,Clear,Standard,22.3,0,0,51,39.2
Zone_7,23,1,Overcast,Standard,22.29,0,0,48,19.2
Zone_9,0,3,Overcast,Standard,14.19,0,0,52,11.7
Zone_9,15,4,Foggy,Express,2.78,1,0,74,42.1
Zone_3,20,0,Clear,Medical,18.1,0,1,18,38.4
Zone_3,1,6,Overcast,Standard,10.04,0,0,24,10.7
Zone_3,21,4,Clear,Standard,17.91,0,0,35,8.1
Zone_4,2,0,Rainy,Express,6.33,1,0,27,22.0
Zone_8,15,0,Clear,Express,9.77,1,0,56,10.1
Zone_6,9,5,Clear,Medical,23.72,0,1,55,31.7
Zone_8,8,1,Clear,Standard,6.98,0,0,44,25.8
Zone_1,13,4,Overcast,Standard,13.4,0,0,52,19.6
Zone_8,7,3,Rainy,Standard,1.06,0,0,47,29.5
Zone_4,1,0,Clear,Medical,1.15,0,1,19,14.4
Zone_1,10,5,Overcast,Standard,16.33,0,0,37,33.2
Zone_8,1,4,Clear,Standard,8.9,0,0,52,17.6
Zone_4,14,4,Clear,Standard,20.67,0,0,65,8.9
Zone_6,17,1,Clear,Standard,23.97,0,0,70,37.6
Zone_8,4,4,Foggy,Standard,20.29,0,0,53,36.4
Zone_4,6,3,Clear,Standard,19.55,0,0,40,12.7
Zone_3,22,4,Clear,Medical,16.39,0,1,29,6.0
Zone_9,18,1,Rainy,Standard,16.13,0,0,78,54.0
Zone_3,18,6,Foggy,Standard,4.99,0,0,42,51.3
Zone_9,15,0,Clear,Standard,21.63,0,0,62,11.8
Zone_2,18,4,Clear,Express,20.57,1,0,58,28.3
Zone_2,16,4,Rainy,Standard,3.68,0,0,53,18.0
Zone_2,12,2,Clear,Standard,8.21,0,0,59,18.6
Zone_6,7,3,Overcast,Standard,24.87,0,0,44,8.0
Zone_3,10,5,Clear,Standard,5.73,0,0,50,24.7
Zone_9,17,3,Clear,Standard,19.98,0,0,81,36.7
Zone_4,10,5,Rainy,Standard,6.51,0,0,52,41.0
Zone_1,22,5,Clear,Standard,19.18,0,0,18,11.3
Zone_4,8,3,Clear,Medical,9.68,0,1,34,25.7
Zone_1,13,5,Rainy,Standard,14.85,0,0,43,18.6
Zone_5,1,4,Clear,Standard,23.79,0,0,42,18.7
Zone_4,16,3,Clear,Express,12.31,1,0,64,8.0
Zone_8,20,3,Clear,Express,17.42,1,0,52,40.6
Zone_8,15,6,Foggy,Express,18.25,1,0,58,37.1
Zone_7,4,2,Overcast,Standard,21.17,0,0,41,22.6
Zone_3,0,1,Clear,Standard,18.06,0,0,32,6.7
Zone_1,8,1,Clear,Standard,18.56,0,0,32,28.5
Zone_1,2,0,Foggy,Standard,0.45,0,0,16,45.0
Zone_3,13,5,Overcast,Standard,0.72,0,0,41,9.5
Zone_6,17,5,Clear,Express,15.24,1,0,56,37.8
Zone_7,11,5,Foggy,Standard,0.21,0,0,57,63.7
Zone_6,22,5,Overcast,Medical,0.86,0,1,27,11.9
Zone_6,13,2,Clear,Standard,13.34,0,0,65,5.9
Zone_6,15,5,Clear,Standard,4.38,0,0,53,8.0
Zone_3,4,5,Clear,Standard,12.22,0,0,21,10.2
Zone_6,19,4,Rainy,Standard,24.52,0,0,38,53.1
Zone_8,19,5,Clear,Standard,15.28,0,0,34,44.6
Zone_2,14,5,Clear,Standard,3.32,0,0,41,11.7
Zone_5,8,0,Clear,Standard,19.45,0,0,27,47.1
Zone_1,16,3,Clear,Standard,5.8,0,0,49,9.8
Zone_1,11,0,Rainy,Standard,20.91,0,0,41,42.0
Zone_5,12,1,Clear,Express,15.1,1,0,61,17.0
Zone_3,9,0,Clear,Standard,5.04,0,0,41,29.5
Zone_4,6,0,Clear,Medical,7.79,0,1,24,11.8
Zone_3,23,5,Rainy,Standard,3.38,0,0,21,22.7
Zone_1,20,2,Clear,Standard,8.94,0,0,32,38.7
Zone_1,6,3,Rainy,Standard,12.87,0,0,32,24.4
Zone_5,7,4,Clear,Standard,15.22,0,0,36,16.1
Zone_6,23,5,Clear,Standard,18.17,0,0,26,12.2
Zone_3,14,4,Clear,Standard,7.84,0,0,62,8.5
Zone_9,20,2,Clear,Express,10.16,1,0,49,35.3
Zone_5,17,6,Clear,Standard,11.01,0,0,52,32.2
Zone_8,21,5,Clear,Standard,4.34,0,0,35,7.0
Zone_1,0,2,Clear,Standard,22.88,0,0,30,18.8
Zone_5,9,5,Clear,Standard,6.2,0,0,55,44.1
Zone_3,21,5,Overcast,Standard,7.82,0,0,20,9.8
Zone_1,18,4,Overcast,Standard,17.86,0,0,56,39.2
Zone_4,2,5,Clear,Express,2.65,1,0,27,9.4
Zone_5,6,0,Clear,Standard,5.33,0,0,28,20.8
Zone_7,3,3,Clear,Express,15.62,1,0,50,13.1
Zone_1,4,4,Clear,Standard,19.82,0,0,32,7.9
Zone_3,5,0,Clear,Express,3.39,1,0,20,14.0
Zone_2,9,0,Clear,Standard,17.07,0,0,43,33.4
Zone_9,11,1,Clear,Standard,3.61,0,0,73,29.5
Zone_10,13,2,Rainy,Standard,15.18,0,0,82,33.8
Zone_6,21,5,Clear,Standard,22.98,0,0,29,7.5
Zone_10,1,6,Clear,Standard,9.33,0,0,41,16.8
Zone_3,2,5,Clear,Standard,21.85,0,0,21,14.9
Zone_8,0,4,Clear,Standard,17.44,0,0,53,5.4
Zone_8,2,4,Clear,Express,20.18,1,0,46,10.9
Zone_2,23,5,Rainy,Standard,17.87,0,0,15,26.7
Zone_6,14,3,Overcast,Express,19.08,1,0,71,17.0
Zone_7,15,6,Clear,Standard,3.2,0,0,62,13.1
Zone_2,19,5,Clear,Express,7.67,1,0,15,43.3
Zone_10,1,5,Clear,Standard,9.43,0,0,45,20.8
Zone_2,19,6,Overcast,Standard,14.38,0,0,14,28.0
Zone_10,15,4,Overcast,Standard,15.1,0,0,78,20.1
Zone_1,14,0,Overcast,Express,1.25,1,0,44,11.3
Zone_8,6,0,Clear,Standard,10.87,0,0,35,16.0
Zone_1,4,3,Overcast,Standard,5.18,0,0,32,15.6
Zone_9,4,6,Clear,Medical,6.55,0,1,43,13.2
Zone_6,20,0,Overcast,Express,1.32,1,0,26,31.9
Zone_7,8,0,Clear,Medical,0.24,0,1,28,39.1
Zone_10,22,4,Overcast,Standard,18.87,0,0,59,19.8
Zone_7,13,6,Clear,Standard,19.24,0,0,61,12.8
Zone_10,18,2,Clear,Standard,0.27,0,0,81,40.6
Zone_3,17,4,Overcast,Standard,1.02,0,0,59,20.2
Zone_2,8,1,Overcast,Medical,5.1,0,1,32,33.7
Zone_9,2,3,Clear,Standard,8.93,0,0,49,16.7
Zone_8,10,5,Clear,Standard,4.05,0,0,57,28.8
Zone_10,23,0,Rainy,Standard,10.48,0,0,37,26.4
Zone_7,14,6,Rainy,Standard,22.23,0,0,60,29.0
Zone_9,3,4,Clear,Express,5.55,1,0,47,17.8
Zone_4,20,4,Clear,Standard,22.47,0,0,32,38.5
Zone_4,23,5,Clear,Standard,18.97,0,0,28,11.3
Zone_1,4,5,Foggy,Standard,7.85,0,0,12,39.1
Zone_8,17,0,Overcast,Standard,20.47,0,0,63,38.6
Zone_3,21,3,Clear,Standard,12.55,0,0,34,7.1
Zone_7,22,4,Overcast,Standard,14.8,0,0,42,22.1
Zone_2,11,2,Rainy,Standard,1.19,0,0,56,51.2
Zone_2,0,5,Clear,Medical,2.28,0,1,21,9.4
Zone_7,21,0,Clear,Standard,15.93,0,0,30,25.9
Zone_6,19,3,Rainy,Standard,15.13,0,0,42,35.8
Zone_3,1,1,Clear,Standard,10.26,0,0,34,7.6
Zone_9,8,5,Rainy,Standard,4.7,0,0,40,36.0
Zone_10,21,0,Rainy,Standard,19.4,0,0,38,32.2
Zone_6,17,1,Overcast,Standard,14.1,0,0,63,35.1
Zone_10,4,0,Overcast,Standard,23.69,0,0,41,23.5
Zone_10,21,4,Clear,Standard,21.64,0,0,51,22.3
Zone_6,13,3,Foggy,Standard,15.83,0,0,70,35.8
Zone_1,10,2,Clear,Standard,0.51,0,0,54,31.8
Zone_4,20,1,Clear,Standard,24.58,0,0,38,27.3
Zone_10,21,6,Clear,Standard,3.97,0,0,38,19.3
Zone_6,2,1,Rainy,Standard,3.96,0,0,41,18.0
Zone_6,8,6,Overcast,Express,13.99,1,0,34,39.4
Zone_5,1,0,Clear,Express,13.79,1,0,27,17.3
Zone_1,13,1,Overcast,Standard,6.24,0,0,50,14.7
Zone_8,1,6,Overcast,Standard,13.03,0,0,33,15.9
Zone_5,20,0,Clear,Standard,15.91,0,0,26,38.8
Zone_5,9,0,Clear,Medical,16.0,0,1,47,47.7
Zone_7,18,1,Clear,Standard,10.21,0,0,67,42.6
Zone_4,1,1,Clear,Standard,20.33,0,0,34,15.6
Zone_6,15,6,Clear,Standard,11.86,0,0,52,2.6
Zone_4,5,4,Clear,Standard,12.53,0,0,34,3.3
Zone_3,11,4,Clear,Express,2.68,1,0,59,29.7
Zone_7,21,5,Clear,Standard,5.37,0,0,29,8.5
Zone_8,6,4,Clear,Standard,24.1,0,0,48,13.1
Zone_4,3,3,Clear,Standard,20.16,0,0,37,5.5
Zone_2,7,2,Rainy,Standard,17.6,0,0,27,21.6
Zone_10,18,4,Clear,Standard,14.75,0,0,80,34.0
Zone_3,9,4,Clear,Standard,21.08,0,0,54,33.1
Zone_1,0,0,Clear,Medical,23.39,0,1,17,17.8
Zone_8,4,2,Clear,Standard,17.71,0,0,51,11.2
Zone_3,5,1,Clear,Medical,20.84,0,1,38,5.6
Zone_10,18,3,Clear,Standard,22.34,0,0,83,38.2
Zone_7,17,1,Clear,Standard,14.61,0,0,68,39.7
Zone_10,18,0,Foggy,Standard,19.6,0,0,68,62.5
Zone_5,18,3,Foggy,Standard,16.28,0,0,66,67.0
Zone_10,22,4,Overcast,Standard,18.06,0,0,58,15.9
Zone_5,0,6,Clear,Standard,15.95,0,0,27,19.1
Zone_7,19,2,Clear,Standard,10.66,0,0,47,36.5
Zone_9,10,2,Rainy,Medical,19.77,0,1,80,59.7
Zone_5,2,4,Rainy,Medical,22.21,0,1,35,32.4
Zone_1,9,1,Clear,Standard,14.14,0,0,51,29.6
Zone_10,6,1,Foggy,Express,22.51,1,0,51,43.9
Zone_10,16,4,Rainy,Express,17.73,1,0,79,25.1
Zone_1,23,4,Overcast,Standard,19.69,0,0,32,17.7
Zone_2,15,2,Clear,Medical,16.29,0,1,58,16.8
Zone_6,6,1,Overcast,Standard,8.43,0,0,39,11.7
Zone_9,12,5,Clear,Medical,6.81,0,1,65,9.5
Zone_8,11,3,Overcast,Medical,13.96,0,1,69,42.8
Zone_5,11,3,Clear,Medical,20.59,0,1,69,31.1
Zone_1,7,0,Overcast,Standard,19.76,0,0,18,15.4
Zone_7,7,0,Clear,Standard,3.01,0,0,32,11.6
Zone_5,12,0,Clear,Standard,16.22,0,0,53,14.9
Zone_6,10,6,Clear,Express,17.5,1,0,55,19.9
Zone_7,0,1,Clear,Standard,8.26,0,0,50,9.0
Zone_3,16,3,Clear,Standard,19.08,0,0,63,6.6
Zone_10,18,1,Overcast,Express,8.91,1,0,80,30.9
Zone_3,12,4,Rainy,Standard,24.8,0,0,60,23.2
Zone_5,22,2,Clear,Medical,0.21,0,1,36,14.9
Zone_6,14,5,Foggy,Standard,16.51,0,0,50,35.1
Zone_9,23,0,Clear,Standard,3.03,0,0,35,10.5
Zone_5,11,4,Rainy,Express,2.74,1,0,66,49.1
Zone_1,20,4,Clear,Standard,23.25,0,0,23,39.7
Zone_4,16,5,Overcast,Standard,18.94,0,0,46,10.5
Zone_5,2,2,Overcast,Standard,2.73,0,0,38,20.8
Zone_10,6,3,Clear,Standard,3.11,0,0,58,14.9
Zone_10,1,3,Clear,Standard,11.06,0,0,53,20.4
Zone_5,1,6,Clear,Express,12.72,1,0,29,15.7
Zone_7,5,4,Clear,Standard,13.71,0,0,50,15.9
Zone_4,3,2,Clear,Express,10.8,1,0,32,8.8
Zone_1,15,3,Overcast,Standard,10.07,0,0,52,26.1
Zone_5,14,6,Clear,Standard,23.07,0,0,49,16.5
Zone_7,9,0,Overcast,Standard,13.55,0,0,56,47.9
Zone_10,13,1,Clear,Express,13.02,1,0,80,16.8
Zone_10,8,2,Clear,Standard,7.79,0,0,56,29.2
Zone_6,14,5,Overcast,Standard,20.86,0,0,54,15.2
Zone_5,6,6,Clear,Medical,19.13,0,1,26,19.2
Zone_4,6,4,Clear,Medical,9.47,0,1,39,7.2
